"id","name"
measure_320,46Mts
measure_321,47Mts
measure_322,48Mts
measure_323,49Mts
measure_324,50Mts
measure_325,1FT
measure_326,2FT
measure_327,3FT
measure_328,4FT
measure_329,5FT
measure_330,6FT
measure_331,7FT
measure_332,8FT
measure_333,9FT
measure_334,10FT
measure_335,11FT
measure_336,12FT
measure_337,13FT
measure_338,14FT
measure_339,15FT
measure_340,16FT
measure_341,17FT
measure_342,18FT
measure_343,19FT
measure_344,20FT
measure_345,21FT
measure_346,22FT
measure_347,23FT
measure_348,24FT
measure_349,25FT
measure_350,26FT
measure_351,27FT
measure_352,28FT
measure_353,29FT
measure_354,30FT
measure_355,31FT
measure_356,32FT
measure_357,33FT
measure_358,34FT
measure_359,35FT
measure_360,36FT
measure_361,37FT
measure_362,38FT
measure_363,39FT
measure_364,40FT
measure_365,41FT
measure_366,42FT
measure_367,43FT
measure_368,44FT
measure_369,45FT
measure_370,46FT
measure_371,47FT
measure_372,48FT
measure_373,49FT
measure_374,50FT
measure_375,1/8"NC
measure_376,3/16"NC
measure_377,1/4"NC
measure_378,5/16"NC
measure_379,3/8"NC
measure_380,7/16"NC
measure_381,1/2"NC
measure_382,9/16"NC
measure_383,5/8"NC
measure_384,11/16"NC
measure_385,3/4"NC
measure_386,13/16"NC
measure_387,7/8"NC
measure_388,15/16"NC
measure_389,2"NC
measure_390,1/8"NF
measure_391,3/16"NF
measure_392,1/4"NF
measure_393,5/16"NF
measure_394,3/8"NF
measure_395,7/16"NF
measure_396,1/2"NF
measure_397,9/16"NF
measure_398,5/8"NF
measure_399,11/16"NF
measure_400,3/4"NF
measure_401,13/16"NF
measure_402,7/8"NF
measure_403,15/16"NF
measure_404,2"NF
measure_405,1/8"NPT
measure_406,3/16"NPT
measure_407,1/4"NPT
measure_408,5/16"NPT
measure_409,3/8"NPT
measure_410,7/16"NPT
measure_411,1/2"NPT
measure_412,9/16"NPT
measure_413,5/8"NPT
measure_414,11/16"NPT
measure_415,3/4"NPT
measure_416,13/16"NPT
measure_417,7/8"NPT
measure_418,15/16"NPT
measure_419,2"NPT
measure_420,#1
measure_421,#2
measure_422,#3
measure_423,#4
measure_424,#5
measure_425,#6
measure_426,#7
measure_427,#8
measure_428,#9
measure_429,#10
measure_430,#11
measure_431,#12
measure_432,#13
measure_433,#14
measure_434,#15
measure_435,#16
measure_436,#17
measure_437,#18
measure_438,#19
measure_439,#20
measure_440,#21
measure_441,#22
measure_442,#23
measure_443,#24
measure_444,#25
measure_445,#26
measure_446,#27
measure_447,#28
measure_448,#29
measure_449,#30
measure_450,#31
measure_451,#32
measure_452,#33
measure_453,#34
measure_454,#35
measure_455,#36
measure_456,#37
measure_457,#38
measure_458,#39
measure_459,#40
measure_460,#41
measure_461,#42
measure_462,#43
measure_463,#44
measure_464,#45
measure_465,#46
measure_466,#47
measure_467,#48
measure_468,#49
measure_469,#50
